,nB,WB,SB,Replicate
HLA-A0205,3,9,51,Replicate 1
HLA-A0301,9,43,489,Replicate 1
HLA-B4901,5,7,228,Replicate 1
HLA-B5501,6,7,71,Replicate 1
HLA-C0304,2,2,16,Replicate 1
HLA-C0701,8,4,17,Replicate 1
HLA-A0205,2,11,25,Replicate 2
HLA-A0301,11,49,448,Replicate 2
HLA-B4901,7,7,177,Replicate 2
HLA-B5501,9,7,71,Replicate 2
HLA-C0304,3,3,17,Replicate 2
HLA-C0701,8,4,10,Replicate 2
